"id","name","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","sequence","is_vat","is_exempt","tax_group_id","perception_id","retention_id","repartition_line_ids/document_type","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_retencion_iibb_pba_efectuada","Retención IIBB PBA Efectuada","Retención IIBB PBA Efectuada","Retención IIBB PBA Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_iibb_pba","","l10n_ar.retention_retention_iibb_pba_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_imp_ingresos_brutos_pcia_ba","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_imp_ingresos_brutos_pcia_ba","100.0"
"tax_retencion_iibb_tucuman_sufrida","Retención IIBB Tucuman Sufrida","Retención IIBB Tucuman Sufrida","Retención IIBB Tucuman Sufrida","sale","","retention","0.0","1","False","False","tax_group_retention_iibb_tucuman","","l10n_ar.retention_retention_iibb_tucuman_sufrida","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_retenciones_sufridas_tucuman","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_retenciones_sufridas_tucuman","100.0"
"tax_retencion_iibb_tucuman_efectuada","Retención IIBB Tucuman Efectuada","Retención IIBB Tucuman Efectuada","Retención IIBB Tucuman Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_iibb_tucuman","","l10n_ar.retention_retention_iibb_tucuman_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_imp_ingresos_brutos_tucuman","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_imp_ingresos_brutos_tucuman","100.0"
"tax_retencion_ganancias_sufrida","Retención Ganancias Sufrida","Retención Ganancias Sufrida","Retención Ganancias Sufrida","sale","","retention","0.0","1","False","False","tax_group_retention_profit","","l10n_ar.retention_retention_ganancias_sufrida","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","imp_a_las_ganancias_retenciones_sufridas","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_a_las_ganancias_retenciones_sufridas","100.0"
"tax_retencion_ganancias_efectuada","Retención Ganancias Efectuada","Retención Ganancias Efectuada","Retención Ganancias Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_profit","","l10n_ar.retention_retention_ganancias_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_imp_a_las_ganancias","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_imp_a_las_ganancias","100.0"
"tax_retencion_iibb_misiones_efectuada","Retención IIBB Misiones Efectuada","Retención IIBB Misiones Efectuada","Retención IIBB Misiones Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_iibb_misiones","","l10n_ar.retention_retention_iibb_misiones_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_imp_ingresos_brutos_misiones","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_imp_ingresos_brutos_misiones","100.0"
